,id,price,neighbourhood_group_cleansed,latitude,longitude,bathrooms,availability_30,beds,bedrooms,review_scores_value,bed_type,minimum_nights,maximum_nights,availability_365,property_type,is_business_travel_ready,cleaning_fee,room_type,square_feet,guests_included
5613,8041776,$79.00,Neukölln,52.48007161062813,13.424807232180614,1.0,7,3.0,2.0,9.0,Real Bed,3,1125,326,Apartment,f,$60.00,Entire home/apt,,2
17663,23377258,$40.00,Charlottenburg-Wilm.,52.488093060504866,13.324101150945596,1.0,0,1.0,1.0,9.0,Real Bed,2,1125,0,Apartment,f,$0.00,Entire home/apt,,1
8866,13359891,$55.00,Mitte,52.5352851820766,13.40114289481281,1.0,18,1.0,1.0,9.0,Real Bed,3,1125,78,Condominium,f,$35.00,Private room,,1
1711,2281088,$75.00,Friedrichshain-Kreuzberg,52.495645404344636,13.447838768426028,1.0,23,2.0,2.0,9.0,Real Bed,3,1125,52,Apartment,f,$30.00,Private room,,2
17929,23644797,$31.00,Friedrichshain-Kreuzberg,52.48792864346058,13.423661823631553,1.0,5,1.0,1.0,,Real Bed,4,90,5,Apartment,f,$25.00,Private room,,1
12678,18679171,$50.00,Pankow,52.5521531074932,13.407947184570453,1.0,0,1.0,1.0,9.0,Real Bed,2,27,129,Apartment,f,$10.00,Private room,,1
912,974427,$95.00,Friedrichshain-Kreuzberg,52.50399893004466,13.462483620794512,1.0,0,2.0,2.0,10.0,Real Bed,3,20,304,Condominium,f,$39.00,Entire home/apt,1195.0,2
4789,7287059,$50.00,Pankow,52.536848123015965,13.436570135334845,1.0,0,3.0,2.0,9.0,Real Bed,7,21,0,Apartment,f,,Entire home/apt,,1
11189,16717957,$30.00,Neukölln,52.46949708374598,13.424985660871814,1.0,0,1.0,1.0,9.0,Real Bed,3,731,318,Apartment,f,$30.00,Private room,,1
2899,4389356,$250.00,Steglitz - Zehlendorf,52.413376617453785,13.15158903372688,1.5,23,2.0,1.0,,Real Bed,2,31,173,Boat,f,$75.00,Entire home/apt,,2
4035,6296150,$40.00,Friedrichshain-Kreuzberg,52.518654751604636,13.43765684846108,1.0,0,1.0,1.0,10.0,Real Bed,1,1125,0,House,f,$20.00,Private room,,1
17969,23681918,$27.00,Mitte,52.509324679272034,13.403403145200715,1.0,0,1.0,1.0,10.0,Real Bed,1,1125,309,Apartment,f,,Shared room,,1
13430,19525698,$49.00,Tempelhof - Schöneberg,52.48119569313756,13.343197587489426,1.0,11,1.0,1.0,10.0,Real Bed,20,1125,33,Apartment,f,$15.00,Private room,,1
9578,14245119,$39.00,Friedrichshain-Kreuzberg,52.51168269857584,13.43787733764341,1.0,0,1.0,1.0,9.0,Real Bed,100,1125,0,Apartment,f,,Private room,,1
4257,6619987,$85.00,Pankow,52.55061893784504,13.421214055644107,1.0,0,3.0,3.0,10.0,Real Bed,3,1125,0,Apartment,f,$39.00,Entire home/apt,,1
19079,25243473,$25.00,Pankow,52.550180377156664,13.428455869935725,1.0,0,1.0,1.0,10.0,Real Bed,6,1125,0,Apartment,f,$10.00,Private room,,1
21902,29110703,$100.00,Pankow,52.53999244516458,13.439374100004418,1.0,2,1.0,1.0,10.0,Real Bed,2,5,2,Apartment,f,$25.00,Entire home/apt,,1
21334,28397782,$89.00,Mitte,52.53018766286044,13.403301270874175,1.0,19,1.0,1.0,,Real Bed,3,1125,19,Apartment,f,$49.00,Entire home/apt,,1
17592,23314254,$75.00,Charlottenburg-Wilm.,52.48575815388779,13.326285062388186,1.0,3,3.0,2.0,,Real Bed,60,180,63,Serviced apartment,f,$0.00,Entire home/apt,,1
1254,1494301,$41.00,Charlottenburg-Wilm.,52.492748070646435,13.291130717461744,1.0,0,2.0,2.0,10.0,Real Bed,1,1125,39,Apartment,f,$20.00,Entire home/apt,,2
17299,23038069,$18.00,Pankow,52.53487930138998,13.436677157994813,1.0,0,1.0,1.0,10.0,Real Bed,1,1125,0,Apartment,f,,Private room,,1
11378,17018152,$23.00,Mitte,52.50406425386104,13.348493386070562,1.0,0,1.0,1.0,10.0,Real Bed,6,13,0,Apartment,f,,Private room,,1
10075,15069720,$35.00,Lichtenberg,52.50660284031268,13.498523607587572,1.0,4,1.0,1.0,9.0,Real Bed,4,99,49,Apartment,f,$50.00,Entire home/apt,,1
2122,3211002,$20.00,Mitte,52.54634758002191,13.345463781033692,1.0,0,1.0,1.0,9.0,Real Bed,2,15,0,Apartment,f,,Private room,,1
2673,4028925,$32.00,Treptow - Köpenick,52.4682692630325,13.487836394497974,1.0,0,2.0,1.0,10.0,Real Bed,28,1124,0,Apartment,f,$0.00,Private room,,1
14001,20034216,$67.00,Spandau,52.56194009390968,13.217284942912267,1.0,29,3.0,3.0,9.0,Real Bed,1,1125,89,Boat,f,$10.00,Entire home/apt,,1
